43,1,404,0,GET /phpMyAdmin2/scripts/setup.php HTTP/1.1
47,1,404,0,HEAD http://180.179.213.41:80/pma2017/ HTTP/1.1
51,1,404,0,HEAD http://180.179.213.41:80/2phpmyadmin/ HTTP/1.1
29,1,404,0,GET /.ssh/id_ed25519 HTTP/1.1
47,1,404,0,HEAD http://180.179.213.41:80/pma2012/ HTTP/1.1
38,1,404,0,HEAD /administrator/index.php HTTP/1.1
34,1,404,0,GET /phpMyAdmin/index.php HTTP/1.1
99,1,200,0,GET /barc/vizi/core/css/fonts/roboto/v18/aZMswpodYeVhtRvuABJWvBTbgVql8nDJpwnrE27mub0.woff2 HTTP/1.1
25,1,404,0,GET /cgi-bin/php HTTP/1.1
172,1,400,0,\x08\x99\x03ag\xB1\xA8J*\xCAN\xC6\xF7f\xFC\x9EuU]\x80\xD2\x9A\xB9C\x9A\xF2Tip3\x89$2\x07\xC2\x10\x85\x97\xDD[>\x92\xCD'\x5C\xE3ZOn\xB6\x1DDg\xB5\xFBk{\x92\xE5jg\x87\xF0\xE0
99,1,200,0,GET /barc/vizi/core/css/fonts/roboto/v18/0eC6fl06luXEYWpBSJvXCBJtnKITppOI_IvcXXDNrsc.woff2 HTTP/1.1
25,1,301,0,GET /barc/tv.old HTTP/1.1
49,1,404,0,GET http://180.179.213.41:80/phpmyadmin/ HTTP/1.1
26,1,404,0,GET /index.action HTTP/1.1
41,1,404,0,GET /cpadmindb/scripts/setup.php HTTP/1.1
99,1,200,0,GET /barc/vizi/core/css/fonts/roboto/v18/oHi30kwQWvpCWqAhzHcCSBJtnKITppOI_IvcXXDNrsc.woff2 HTTP/1.1
17,1,400,0,V\xBBHg\x07\x9DM5
10,1,400,0,myversion|
44,1,404,0,GET //phpmy-admin/scripts/setup.php HTTP/1.1
10,1,400,0,SSH-2.0-Go
50,1,404,0,GET /phpMyAdmin/scripts/db_setup.init.php HTTP/1.1
35,1,404,0,GET /current_config/passwd HTTP/1.1
99,1,200,0,GET /barc/vizi/core/css/fonts/roboto/v18/-2n2p-_Y08sg57CNWQfKNvesZW2xOQ-xsNqO47m55DA.woff2 HTTP/1.1
32,1,404,0,GET /currentsetting.htm HTTP/1.1
54,1,404,0,HEAD http://180.179.213.41:80/phpmyadmin2011/ HTTP/1.1
37,1,404,0,POST /zabbix/api_jsonrpc.php HTTP/1.1
47,1,200,0,GET /barc/tv/chart/dom-to-image.min.js HTTP/1.1
43,1,200,0,GET /barc/tv/images/enrichment.png HTTP/1.1
40,1,404,0,GET //dbadmin/scripts/setup.php HTTP/1.1
26,1,404,0,GET /db/index.php HTTP/1.1
50,1,200,0,GET /barc/vizi/tp/snap/js/snap.svg-min.js HTTP/1.1
26,1,404,0,GET /cgi-bin/php5 HTTP/1.1
41,1,404,0,GET /wordpress/wp-config.php.bak HTTP/1.1
53,1,404,1,HEAD http://180.179.213.41:80/sql/sql-admin/ HTTP/1.1
99,1,200,0,GET /barc/vizi/core/css/fonts/roboto/v18/mErvLBYg_cXG3rLvUsKT_fesZW2xOQ-xsNqO47m55DA.woff2 HTTP/1.1
43,1,404,1,GET /mysql-admin/scripts/setup.php HTTP/1.1
47,1,404,0,HEAD http://180.179.213.41:80/PMA2015/ HTTP/1.1
47,1,404,0,HEAD http://180.179.213.41:80/PMA2012/ HTTP/1.1
40,1,404,0,GET /index.php?page=/etc/passwd HTTP/1.1
360,5,400,0,Gh0st\xAD\x00\x00\x00\xE0\x00\x00\x00x\x9CKS``\x98\xC3\xC0\xC0\xC0\x06\xC4\x8C@\xBCQ\x96\x81\x81\x09H\x07\xA7\x16\x95e&\xA7*\x04$&g+\x182\x94\xF6\xB000\xAC\xA8rc\x00\x01\x11\xA0\x82\x1F\x5C`&\x83\xC7K7\x86\x19\xE5n\x0C9\x95n\x0C;\x84\x0F3\xAC\xE8sch\xA8^\xCF4'J\x97\xA9\x82\xE30\xC3\x91h]&\x90\xF8\xCE\x97S\xCBA4L?2=\xE1\xC4\x92\x86\x0B@\xF5`\x0CT\x1F\xAE\xAF]
38,1,404,0,GET /web/phpMyAdmin/index.php HTTP/1.1
35,1,200,0,GET /barc/tv.old/js/app.js HTTP/1.1
43,1,404,0,GET /phpmyadmin/scripts/setup0.php HTTP/1.1
30,1,404,0,GET /cgi-bin/test.cgi HTTP/1.1
48,1,404,0,HEAD http://180.179.213.41:80/admin/db/ HTTP/1.1
99,1,200,0,GET /barc/vizi/core/css/fonts/roboto/v18/mx9Uck6uB63VIKFYnEMXrRJtnKITppOI_IvcXXDNrsc.woff2 HTTP/1.1
46,1,404,0,HEAD http://180.179.213.41:80/shopdb/ HTTP/1.1
22,1,404,0,GET /503.html HTTP/1.1
32,1,404,0,HEAD /scripts/setup.php HTTP/1.1
50,1,200,0,GET /barc/vizi/tp/moment/js/moment.min.js HTTP/1.1
99,1,200,0,GET /barc/vizi/core/css/fonts/roboto/v18/rGvHdJnr2l75qb0YND9NyBJtnKITppOI_IvcXXDNrsc.woff2 HTTP/1.1
38,1,200,0,GET /barc/tv.old/css/home.css HTTP/1.1
45,1,404,1,HEAD http://180.179.213.41:80/mysql/ HTTP/1.1
51,1,404,0,GET /phpMyAdmin-2.10.0.0/scripts/setup.php HTTP/1.1
19,1,404,0,GET /tftp/ HTTP/1.1
27,1,404,0,GET /html/barc/tv/ HTTP/1.1
22,1,200,0,GET /barc/tv/ HTTP/1.1
31,1,404,0,GET /pma-old/index.php HTTP/1.1
34,1,200,0,GET /barc/tv/cluster.html HTTP/1.1
42,1,404,0,GET /PhpMyAdmin/scripts/setup.php HTTP/1.1
91,1,400,0,\x80\x00\x00\x00\x07X\xB0\xC8|\x13X\x9Fxq\xB8\xE5\xD3\x10\x7Fa\xE3\x8Fp'.i\xA2txN4t\x94\xA3
38,1,404,1,GET //mysql/scripts/setup.php HTTP/1.1
31,1,404,0,GET /Blog/wp-login.php HTTP/1.1
